,summary,description,location,photo,recomendado,price,size,rooms,price/m2,bathrooms,Num Photos,type,region
17,Piso en Rúa da República Arxentina,,Ensanche-Sar (Santiago de Compostela),https://fotos3.imghs.net/nrd//1018/641/1018_25869641_1_2020101917105088588.jpg,Recomendado,490.000 €,170 m²,4,2.882 €/m²,2,17,pisos,a_coruna
18,Piso en Rúa de Alfredo Brañas,,Ensanche-Sar (Santiago de Compostela),https://fotos2.imghs.net/nrd//1018/057/1018_19030057_1_2020101915105219903.jpg,Recomendado,360.000 €,170 m²,5,2.117 €/m²,2,16,pisos,a_coruna
19,Casa en calle de Curro,,A Carreira (Miño),https://fotos5.imghs.net/nrd//990666/836948145.990666/990666_836948145_1_20200127191330051.jpg,Recomendado,265.000 €,372 m²,6,712 €/m²,4,185,pisos,a_coruna
20,Piso en Oleiros,,Perillo (Oleiros),https://fotos3.imghs.net/nrd/1089/206/1089_XA27-02206_3_2020093015210431250.jpg,Recomendado,150.000 €,90 m²,3,1.666 €/m²,2,16,pisos,a_coruna
21,Piso en Cidade Vella-Atochas-Pescadería,,Cidade Vella-Atochas-Pescadería (A Coruña Capital),https://fotos5.imghs.net/nrd//1005/065/1005_92265613065_1_2020010918012555142.jpg,Recomendado,320.000 €,89 m²,3,3.595 €/m²,2,25,pisos,a_coruna
22,Piso en Cidade Vella-Atochas-Pescadería,,Cidade Vella-Atochas-Pescadería (A Coruña Capital),https://fotos1.imghs.net/nrd//1005/065/1005_58587723065_1_2019091720091622023.jpg,Recomendado,299.000 €,88 m²,1,3.397 €/m²,2,23,pisos,a_coruna
23,Piso en Ensanche,,Ensanche (A Coruña Capital),https://fotos2.imghs.net/nrd//1005/065/1005_67953263065_1_2019080623083033586.jpg,Recomendado,310.000 €,123 m²,3,2.520 €/m²,3,26,pisos,a_coruna
24,Piso en Ensanche,,Ensanche (A Coruña Capital),https://fotos1.imghs.net/nrd//1005/065/1005_93461393065_1_2020021417024616007.jpg,Recomendado,565.000 €,140 m²,3,4.035 €/m²,3,21,pisos,a_coruna
25,Piso en Inferniño,,Porta Nova (Ferrol),https://fotos3.imghs.net/nrd/1060/435/1060_NI49-11435_1_2017062306141431250.jpg,Recomendado,A consultar,107 m²,2,,1,8,pisos,a_coruna
26,Piso en Centro,,Centro (Ferrol),https://fotos1.imghs.net/nrd/1060/676/1060_NI49-12676_1_2019091106243231250.jpg,Recomendado,195.000 €,240 m²,4,812 €/m²,2,24,pisos,a_coruna
27,Piso en Carretera de Castilla,,Alto del Castaño (Narón),https://fotos4.imghs.net/nrd/9989/370/9989_TI-52876370_1_2019110716571631250.jpg,Exclusivo,85.300 €,103 m²,2,828 €/m²,2,20,pisos,a_coruna
28,Piso en calle Cementerio,,Mugardos,https://fotos5.imghs.net/nrd//515609/5097924374.515609/515609_5097924374_1_20200625175906998.jpg,Oportunidad,50.000 €,60 m²,2,833 €/m²,1,22,pisos,a_coruna
29,Piso en Ronda de Monte Alto,,Monte Alto-Adormideras (A Coruña Capital),https://fotos2.imghs.net/nrd/9993/015/9993_TI-BAL40841VN010015_1_2020061906363231250.jpg,Exclusivo,265.000 €,Obra nueva,,,,31,pisos,a_coruna
30,"Piso en Barrio de Vilar, nº 159",,"Carnota (Santa Columba, De)",https://fotos2.imghs.net/nrd//993209/69212225512.993209/993209_69212225512_1_20161108191005.jpg,Oportunidad,69.000 €,90 m²,2,766 €/m²,1,19,pisos,a_coruna
31,Apartamento en calle Cabo Cruz,,Boiro,https://fotos5.imghs.net/nrd/1001/410/1001_PX839_-_4977-26549410_2_2019060701074131250.jpg,Oportunidad,57.000 €,60 m²,2,950 €/m²,2,23,pisos,a_coruna
32,Piso en calle Terranova de Eirís,,Eirís-As Xubias-Pasaxe (A Coruña Capital),https://fotos3.imghs.net/nrd//997229/8411261811.997229/997229_8411261811_1_20201014125952355.jpg,Exclusivo,265.000 €,91 m²,3,2.912 €/m²,2,20,pisos,a_coruna
33,Casa unifamiliar en calle de Rosalía de Castro,,Cariño,https://fotos1.imghs.net/nrd//999170/6710562282.999170/999170_6710562282_4_20200811200304140.jpg,Oportunidad,199.000 €,207 m²,5,961 €/m²,3,30,pisos,a_coruna
34,Piso en Rúa Sancha Rodríguez,,Betanzos,https://fotos5.imghs.net/nrd/9989/234/9989_TI-CAN0000160234_1_2019110716561731250.jpg,Exclusivo,121.500 €,3,3,,2,23,pisos,a_coruna
35,"Piso en Avenida de Barrié de la Maza, cerca de Plaza de la Iglesia Nueva",,Sada,https://fotos2.imghs.net/nrd/9989/498/9989_TI-ALI0000091498_1_2019110716565331250.jpg,Exclusivo,143.590 €,3,3,,2,48,pisos,a_coruna
36,Casa adosada en calle Iglesia,,Sada,https://fotos2.imghs.net/nrd//516940/5094819305.516940/516940_5094819305_1_20200604135617172.jpg,Céntrico,105.000 €,90 m²,3,1.166 €/m²,1,19,pisos,a_coruna
37,Piso en Avenida de La Revolución Francesa,,Vedra,https://fotos3.imghs.net/nrd/9989/718/9989_TI-ALI0000083718_1_2019110716565231250.jpg,Exclusivo,243.040 €,104 m²,2,2.336 €/m²,1,28,pisos,a_coruna
38,"Piso en calle de Hàbitat,  1",,Perillo (Oleiros),https://fotos1.imghs.net/nrd//1097/456/a080f48f-a88b-4b4d-8bc2-90f85b2a7708_20191018132105483.jpg,Exclusivo,365.000 €,131 m²,4,2.779 €/m²,3,7,pisos,a_coruna
39,"Casa en calle Lugar Cascalleira. Fixó, nº 83",,Eirapedriña (Ames),https://fotos4.imghs.net/nrd//995784/98399566087.995784/995784_98399566087_24_20200615101927389.jpg,Oportunidad,166.600 €,196 m²,3,850 €/m²,3,23,pisos,a_coruna
40,Casa en calle Pesqueira-Cabo Cruz,,Boiro,https://fotos3.imghs.net/nrd/1060/417/1060_NI120-417_1_2020022706253231250.jpg,Oportunidad,100.000 €,6,6,,2,25,pisos,a_coruna
41,"Piso en Avenida de Finisterre, nº 20",,Ensanche (A Coruña Capital),https://fotos5.imghs.net/nrd//994128/858212445.994128/994128_858212445_3_20200124203109591.jpg,Oportunidad,355.000 €,95 m²,3,3.736 €/m²,2,4,pisos,a_coruna
42,Chalet en Oleiros - Urb. Las Galeras,,Liáns (Oleiros),https://fotos3.imghs.net/nrd//1018/325/1018_25812325_0_2020101615104267795.jpg,Lujo,719.580 €,416 m²,5,1.729 €/m²,4,18,pisos,a_coruna
43,Piso en calle José Pastor Horta,,Cruceiro do Sar-Aríns (Santiago de Compostela),https://fotos3.imghs.net/nrd/9989/017/9989_TI-ALI0000108017_1_2019110716570231250.jpg,Exclusivo,151.198 €,91 m²,2,1.661 €/m²,1,22,pisos,a_coruna
44,Piso en calle Plaza de Francisco Fernández del Riego. San Lázaro,,Campus Norte-San Caetano (Santiago de Compostela),https://fotos4.imghs.net/nrd//995784/2528181667.995784/995784_2528181667_6_20200304100155892.jpg,Oferta,208.000 €,115 m²,3,1.808 €/m²,2,23,pisos,a_coruna
45,Casa en Oleiros/ Nos/ O Carballo,,Nós (Oleiros),https://fotos4.imghs.net/nrd/1089/038/1089_XA27-01038_2_2020080315220231250.jpg,Oportunidad,295.000 €,241 m²,5,1.224 €/m²,4,33,pisos,a_coruna
46,"Piso en Plaza Médico Ángel Ron Fraga, nº 5",,Ensanche (A Coruña Capital),https://fotos1.imghs.net/nrd//994128/5010143092.994128/994128_5010143092_9_20200604170339235.jpg,Oportunidad,495.000 €,120 m²,3,4.125 €/m²,2,12,pisos,a_coruna
47,"Piso en Rúa de Boqueixón,  3",,Cruceiro do Sar-Aríns (Santiago de Compostela),https://fotos2.imghs.net/nrd/9995/675/9995_TI-245675_1_2020091714145831250.jpg,Exclusivo,235.900 €,101 m²,3,2.331 €/m²,2,28,pisos,a_coruna
48,Piso en Cuatro Caminos/ Corte Inglés,,Catro Camiños-A Gaiteira (A Coruña Capital),https://fotos5.imghs.net/nrd/1089/019/1089_XA27-02019_1_2020030310235131250.jpg,Oportunidad,295.000 €,118 m²,3,2.500 €/m²,2,32,pisos,a_coruna
49,Apartamento en calle Tui,,Alto del Castaño (Narón),https://fotos4.imghs.net/nrd/1001/884/1001_PX75780_-_LORE-0871-84489884_1_2019031401091831250.jpg,Oportunidad,88.000 €,99 m²,2,888 €/m²,1,15,pisos,a_coruna
50,Piso en Parque Montouto,,Teo,https://fotos3.imghs.net/nrd/1067/439/1067_IFC7585-0516374439_5_2020060910261631250.jpg,Oportunidad,120.000 €,71 m²,2,1.690 €/m²,1,20,pisos,a_coruna
51,Chalet en calle Ac-544,,Ames (San Tome),https://fotos4.imghs.net/nrd//1018/622/1018_25614622_1_2020092320091905034.jpg,Lujo,527.000 €,463 m²,5,1.138 €/m²,5,20,pisos,a_coruna
52,Casa en San Pedro de Nós,,Nós (Oleiros),https://fotos2.imghs.net/nrd/1089/066/1089_XA27-02066_1_2019082220323831250.jpg,Rehabilitado,340.000 €,294 m²,6,1.156 €/m²,4,29,pisos,a_coruna
53,Piso en Avenida Avenida Das Mariñas,,Perillo (Oleiros),https://fotos5.imghs.net/nrd//515609/5024858316.515609/515609_5024858316_4_20200620095556304.jpg,Oportunidad,99.000 €,75 m²,2,1.320 €/m²,1,30,pisos,a_coruna
54,Dúplex en Perillo Centro,,Perillo (Oleiros),https://fotos4.imghs.net/nrd/1089/184/1089_XA27-02184_13_2020060520231931250.jpg,Visítalo,275.000 €,134 m²,4,2.052 €/m²,3,33,pisos,a_coruna
55,Piso en calle Carretera de Castilla,,Alto del Castaño (Narón),https://fotos1.imghs.net/nrd/1069/175/1069_I000172-P001175_1_2020021322214931250.jpg,Oportunidad,75.200 €,71 m²,2,1.059 €/m²,2,37,pisos,a_coruna
56,Piso en Sar,,Cruceiro do Sar-Aríns (Santiago de Compostela),https://fotos1.imghs.net/nrd/1067/403/1067_IFC7585-0514162403_1_2020032510265231250.jpg,Oportunidad,169.500 €,100 m²,3,1.695 €/m²,2,23,pisos,a_coruna
57,Piso en Avenida de los Mugardos,,Ares,https://fotos4.imghs.net/nrd/1069/172/1069_I000172-P001172_1_2019060812210531250.jpg,Oportunidad,58.620 €,75 m²,2,781 €/m²,2,21,pisos,a_coruna
58,Piso en calle del Río Sil,,Cariño,https://fotos5.imghs.net/nrd//999170/6701032202.999170/999170_6701032202_3_20200821121008937.jpg,Oportunidad,98.000 €,61 m²,1,1.606 €/m²,1,18,pisos,a_coruna
59,Chalet en Avenida de Rosalia de Castro,,Sada,https://fotos5.imghs.net/nrd//1018/887/1018_21279887_14_2020110205111946468.jpg,Cerca de la playa,149.000 €,131 m²,3,1.137 €/m²,1,61,pisos,a_coruna
60,Piso en calle Virxen de Covadonga,,A Gándara (Narón),https://fotos3.imghs.net/nrd/9995/937/9995_TI-87937_1_2020091714150531250.jpg,Exclusivo,138.500 €,107 m²,3,1.295 €/m²,2,34,pisos,a_coruna
61,Casa en Miño / Cerca Playa,,A Carreira (Miño),https://fotos2.imghs.net/nrd/1089/124/1089_XA27-02124_34_2019062005302831250.jpg,Oportunidad,390.000 €,249 m²,4,1.566 €/m²,3,39,pisos,a_coruna
62,Piso en Avenida de los Mugardos,,Ares,https://fotos2.imghs.net/nrd/1069/170/1069_I000172-P001170_1_2019060718212231250.jpg,Oportunidad,51.000 €,67 m²,2,761 €/m²,2,39,pisos,a_coruna
63,"Piso en Praza da Ría, nº 3",,Cambre (Santa Maria),https://fotos4.imghs.net/nrd//1018/357/1018_20564357_0_2020102111100003598.jpg,Oportunidad,110.000 €,100 m²,3,1.100 €/m²,2,31,pisos,a_coruna
64,"Casa en Avenida de Barrié de la Maza, 41, cerca de Plaza de la Iglesia Nueva",,Sada,https://fotos2.imghs.net/nrd//1018/752/1018_24806752_1_2020092023090859536.jpg,Céntrico,280.000 €,302 m²,6,927 €/m²,3,41,pisos,a_coruna
65,Piso en Sada (A Coruña),,Sada,https://fotos5.imghs.net/nrd//1018/091/1018_19866091_0_2020072516075436660.jpg,Primera línea playa,110.000 €,67 m²,2,1.641 €/m²,2,18,pisos,a_coruna
66,Piso en Avenida de los Mugardos,,Ares,https://fotos5.imghs.net/nrd/1069/158/1069_I000172-P001158_1_2020081718211431250.jpg,Oportunidad,51.000 €,49 m²,2,1.040 €/m²,1,12,pisos,a_coruna
67,Casa en calle Lugar Vigo,,Paderne (San Xoan),https://fotos1.imghs.net/nrd/1069/209/1069_I000172-C001209_1_2020082214213231250.jpg,Oportunidad,155.000 €,179 m²,7,865 €/m²,2,45,pisos,a_coruna
68,Chalet en Lestedo,,Lestedo (Boqueixón),https://fotos5.imghs.net/nrd/1067/152/1067_IFC7585-0517716152_1_2020101410183431250.jpg,Exclusivo,450.000 €,445 m²,5,1.011 €/m²,3,39,pisos,a_coruna
69,Piso en Narón,,A Gándara (Narón),https://fotos1.imghs.net/nrd/1088/677/1088_7045677_1_2020061515433631250.jpg,Oportunidad,31.500 €,69 m²,3,456 €/m²,1,12,pisos,a_coruna
70,Casa en Centro Sada Cerca-Castro-Osedo,,Sada,https://fotos2.imghs.net/nrd/1089/977/1089_XA27-01977_6_2020052717524531250.jpg,Preciosas vistas,359.000 €,326 m²,5,1.101 €/m²,4,45,pisos,a_coruna
71,Piso en calle Carretera de Castilla,,Alto del Castaño (Narón),https://fotos4.imghs.net/nrd/1069/174/1069_I000172-P001174_1_2020021322214931250.jpg,Oportunidad,100.300 €,86 m²,3,1.166 €/m²,2,37,pisos,a_coruna
72,Piso en Ribeira,,Ribeira (Santa Uxia),https://fotos5.imghs.net/nrd/1088/575/1088_7268575_1_2020061515433931250.jpg,Oportunidad,72.600 €,90 m²,3,806 €/m²,2,17,pisos,a_coruna
73,Casa en calle Urb. Baldomir,,Bergondo (Carrio),https://fotos5.imghs.net/nrd/1069/297/1069_I000172-C000297_1_2017081112385331250.jpg,Oportunidad,239.900 €,350 m²,5,685 €/m²,3,21,pisos,a_coruna
74,Piso en Ensanche,,Ensanche-Sar (Santiago de Compostela),https://fotos3.imghs.net/nrd/1067/627/1067_IFC7585-0517548627_1_2020091210231531250.jpg,Oportunidad,320.000 €,180 m²,4,1.777 €/m²,2,20,pisos,a_coruna
75,"Piso en calle de San Jaime, 31",,Sagrada Familia-Vioño (A Coruña Capital),https://fotos1.imghs.net/nrd//1005/509/1005_103972522509_1_2020092918090052074.jpg,Visítalo,144.500 €,108 m²,3,1.337 €/m²,1,35,pisos,a_coruna
76,Piso en calle de San Diego,,Catro Camiños-A Gaiteira (A Coruña Capital),https://fotos1.imghs.net/nrd/1069/232/1069_I000172-P001232_1_2020081014211931250.jpg,Oportunidad,254.500 €,129 m²,3,1.972 €/m²,2,17,pisos,a_coruna
77,"Ático en Avenida de Rosalia de Castro, nº 15",,Sada,https://fotos5.imghs.net/nrd//1018/285/1018_21322285_17_2020062217065388549.jpg,Oportunidad,118.000 €,85 m²,3,1.388 €/m²,2,17,pisos,a_coruna
78,"Apartamento en calle del Alcalde Lens, nº 34",,Agra do Orzán-O Ventorillo (A Coruña Capital),https://fotos1.imghs.net/nrd/1001/586/1001_PX76147_-_1172-88149586_12_2019122801075331250.jpg,Oportunidad,145.000 €,111 m²,4,1.306 €/m²,2,26,pisos,a_coruna
79,Piso en Plaza de Pontevedra,,Ensanche (A Coruña Capital),https://fotos4.imghs.net/nrd//1005/275/1005_106482927275_1_2020102312101014685.jpg,Oportunidad,420.000 €,127 m²,4,3.307 €/m²,3,56,pisos,a_coruna
80,Piso en Narón,,Alto del Castaño (Narón),https://fotos5.imghs.net/nrd/1069/196/1069_I000172-P001196_1_2019100222212331250.jpg,Oportunidad,72.700 €,96 m²,2,757 €/m²,2,17,pisos,a_coruna
81,"Piso en Avenida de Caión, cerca de Calle Ribazos",,Arteixo,https://fotos4.imghs.net/nrd/1069/180/1069_I000172-P001180_1_2020102414213431250.jpg,Oportunidad,98.900 €,73 m²,2,1.354 €/m²,2,13,pisos,a_coruna
82,Piso en Praza de Europa,,Concheiros-Fontiñas (Santiago de Compostela),https://fotos5.imghs.net/nrd//1005/899/1005_2204899_1_2020060312060025156.jpg,Oportunidad,129.900 €,110 m²,2,1.180 €/m²,1,10,pisos,a_coruna
83,Piso en Avenida de Barcelona,,Campus Sur-Toxeira de San Lourenzo (Santiago de Compostela),https://fotos2.imghs.net/nrd/1067/919/1067_IFC7585-0507849919_1_2019061310181331250.jpg,Oportunidad,325.000 €,113 m²,3,2.876 €/m²,2,20,pisos,a_coruna
84,Piso en Boiro,,Boiro,https://fotos1.imghs.net/nrd/1088/840/1088_7273840_1_2020061515434131250.jpg,Oportunidad,A consultar,82 m²,2,,2,9,pisos,a_coruna
85,Chalet en Xian,,Vedra,https://fotos2.imghs.net/nrd/1067/855/1067_IFC7585-0517511855_12_2020090210211731250.jpg,Oportunidad,215.000 €,261 m²,5,823 €/m²,2,27,pisos,a_coruna
86,Piso en calle Revolución Francesa,,Vedra,https://fotos5.imghs.net/nrd/1069/266/1069_I000172-P001266_1_2020080712210631250.jpg,Oportunidad,227.440 €,79 m²,2,2.878 €/m²,2,15,pisos,a_coruna
87,Piso en Betanzos,,Betanzos,https://fotos1.imghs.net/nrd//1005/938/1005_87815884938_1_2020110518115265930.jpg,Oportunidad,135.000 €,85 m²,3,1.588 €/m²,2,46,pisos,a_coruna
88,Piso en calle Revolución Francesa,,Vedra,https://fotos5.imghs.net/nrd/1069/267/1069_I000172-P001267_1_2020080712210631250.jpg,Oportunidad,245.690 €,95 m²,3,2.586 €/m²,2,21,pisos,a_coruna
89,Casa en San Mamede,,Paderne (San Xoan),https://fotos4.imghs.net/nrd/1089/620/1089_XA519-620_1_2020070820263231250.jpg,Oportunidad,208.000 €,400 m²,3,520 €/m²,2,51,pisos,a_coruna
90,Piso en Ensanche,,Ensanche (A Coruña Capital),https://fotos4.imghs.net/nrd//1005/033/1005_26399433033_1_2019103013104681751.jpg,Oportunidad,495.000 €,180 m²,4,2.750 €/m²,2,40,pisos,a_coruna
91,Piso en Cariño,,Cariño,https://fotos4.imghs.net/nrd//1005/938/1005_83960354938_1_2020081020085739456.jpg,Oportunidad,68.000 €,96 m²,2,708 €/m²,2,18,pisos,a_coruna
92,Casa en Betanzos,,Betanzos,https://fotos1.imghs.net/nrd/1069/222/1069_I000172-C001222_1_2020091514210131250.jpg,Oportunidad,99.000 €,73 m²,2,1.356 €/m²,1,10,pisos,a_coruna
93,Chalet en Sada,,Sada,https://fotos2.imghs.net/nrd//1005/561/1005_94199082561_1_2020102114101636249.jpg,Lujo,1.150.000 €,750 m²,5,1.533 €/m²,7,57,pisos,a_coruna
94,Piso en Ronda de Monte Alto,,Monte Alto-Adormideras (A Coruña Capital),https://fotos4.imghs.net/nrd/9989/738/9989_TI-ALI0000148738_1_2019110716563331250.jpg,Exclusivo,213.500 €,2,2,,1,25,pisos,a_coruna
95,Ático en Corcubión,,Corcubión,https://fotos4.imghs.net/nrd/1085/319/1085_AG79-214319_1_2019040317070231250.jpg,Oportunidad,65.000 €,2,2,,1,8,pisos,a_coruna
96,Casa en Dumbría (Santa Eulalia),,Dumbría (Santa Eulalia),https://fotos4.imghs.net/nrd/1085/847/1085_AG79-475847_1_2019040317070231250.jpg,Oportunidad,125.000 €,420 m²,6,297 €/m²,3,15,pisos,a_coruna
97,Apartamento en Corcubión,,Corcubión,https://fotos5.imghs.net/nrd/1085/150/1085_AG79-118150_1_2019040317070231250.jpg,Oportunidad,85.000 €,2,2,,1,6,pisos,a_coruna
98,Piso en Cee,,Cee,https://fotos2.imghs.net/nrd/1085/496/1085_AG79-20496_1_2019040317070231250.jpg,Oportunidad,85.000 €,2,2,,2,14,pisos,a_coruna
99,Ático en Fisterra (Santa Maria),,Fisterra (Santa Maria),https://fotos4.imghs.net/nrd/1085/542/1085_AG79-14542_1_2019040317070231250.jpg,Oportunidad,60.000 €,2,2,,1,5,pisos,a_coruna
100,Piso en Avenida del Ferrocarril,,Os Mallos-A Falperra (A Coruña Capital),https://fotos3.imghs.net/nrd//1005/095/1005_100763085095_1_2020102915102261968.jpg,Exclusivo,188.000 €,72 m²,2,2.611 €/m²,2,52,pisos,a_coruna
101,Piso en Cambre (Santa Maria),,Cambre (Santa Maria),https://fotos2.imghs.net/nrd//1005/095/1005_69494735095_1_2020110614111321047.jpg,Oportunidad,105.000 €,65 m²,2,1.615 €/m²,2,23,pisos,a_coruna
102,"Apartamento en calle de Areal, 64",,Muxía,https://fotos4.imghs.net/nrd/1098/481/1098_0_foto_20201014171137735_945856909809481.jpg,Oportunidad,85.000 €,1,1,,1,12,pisos,a_coruna
103,Piso en El Alto,,Alto del Castaño (Narón),https://fotos1.imghs.net/nrd/1060/247/1060_NI49-12247_1_2018083006242031250.jpg,Exclusivo,145.000 €,108 m²,3,1.342 €/m²,2,35,pisos,a_coruna
104,Piso en Avenida de los Mugardos,,Ares,https://fotos1.imghs.net/nrd/9989/854/9989_TI-ALI0000114854_1_2019110716573031250.jpg,,61.410 €,2,2,,2,28,pisos,a_coruna
105,Casa en calle Loureda,,Morás (Arteixo),https://fotos1.imghs.net/nrd//515609/5867889208.515609/515609_5867889208_55_20200727101502727.jpg,,229.900 €,346 m²,4,664 €/m²,2,60,pisos,a_coruna
106,Casa en calle Lugar Bordel,,Abegondo,https://fotos5.imghs.net/nrd/1001/239/1001_PX75994_-_SI-1551-88380239_23_2020012201394831250.jpg,,125.000 €,185 m²,3,675 €/m²,2,35,pisos,a_coruna
107,Piso en calle La Guardia,,Alto del Castaño (Narón),https://fotos1.imghs.net/nrd/9989/947/9989_TI-ALI0000134947_1_2019110716563331250.jpg,,74.500 €,2,2,,2,28,pisos,a_coruna
108,"Chalet en calle Lamiño, nº 60",,Brión,https://fotos3.imghs.net/nrd/1093/070/1093_EP592-2070_1_2020102905390331250.jpg,,186.200 €,294 m²,4,633 €/m²,3,15,pisos,a_coruna
109,Casa en calle Guiliade,,Guiliade (Betanzos),https://fotos1.imghs.net/nrd//515609/7521675091.515609/515609_7521675091_6_20200915133222364.jpg,,160.000 €,218 m²,4,733 €/m²,2,24,pisos,a_coruna
110,Piso en calle del Capitán Juan Varela,,Os Mallos-A Falperra (A Coruña Capital),https://fotos3.imghs.net/nrd//1005/543/1005_2786543_1_2020102012103142426.jpg,,59.000 €,62 m²,2,951 €/m²,2,15,pisos,a_coruna
111,"Piso en Avenida de Caión, cerca de Calle de Esqueiros",,Arteixo,https://fotos3.imghs.net/nrd/9989/894/9989_TI-CAN0000153894_1_2019110716563431250.jpg,,98.370 €,2,2,,2,26,pisos,a_coruna
112,Casa en calle Abegondo,,Cecebre (S.Salvador). Municipio de Cambre,https://fotos3.imghs.net/nrd//516835/2519223148.516835/516835_2519223148_1_20200303172629695.jpg,,290.000 €,175 m²,3,1.657 €/m²,2,70,pisos,a_coruna
113,"Piso en calle de José María Hernán Sáez, nº 48",,Os Castros-Castrillón-Monelos (A Coruña Capital),https://fotos1.imghs.net/nrd//510177/7571540341.510177/510177_7571540341_4_20200902000630194.jpg,,170.000 €,65 m²,2,2.615 €/m²,2,23,pisos,a_coruna
114,Casa en calle Pena Loureira,,Castro (Rutis). Municipio de Culleredo,https://fotos5.imghs.net/nrd//515609/6719315475.515609/515609_6719315475_1_20200812101609551.jpg,,139.000 €,113 m²,4,1.230 €/m²,3,63,pisos,a_coruna
115,Chalet en Lugar de Leston,,Leston (San Martiño). Municipio de A Laracha,https://fotos5.imghs.net/nrd//510177/6669200706.510177/510177_6669200706_1_20200823231935659.jpg,,290.000 €,430 m²,5,674 €/m²,4,65,pisos,a_coruna
